"Game_id","Home_ID","Away_ID","Home_pts","Away_pts","Spread","Home_oreb","Away_oreb","Matchup_ID"
22200002,1610612744,1610612747,123,109,14,11,9,4447
22200001,1610612738,1610612755,126,117,9,6,4,3855
22200006,1610612751,1610612740,108,130,-22,9,21,4051
22200007,1610612748,1610612741,108,116,-8,8,12,4148
22200009,1610612763,1610612752,115,112,3,20,18,5263
22200005,1610612737,1610612745,117,107,10,4,15,3745
22200011,1610612759,1610612766,102,129,-27,14,14,5966
22200008,1610612761,1610612739,108,105,3,12,6,3961
22200010,1610612750,1610612760,115,108,7,14,16,5060
22200012,1610612762,1610612743,123,102,21,11,10,4362
22200013,1610612756,1610612742,107,105,2,8,5,4256
22200014,1610612758,1610612757,108,115,-7,4,11,5758
22200004,1610612754,1610612764,107,114,-7,12,14,5464
22200003,1610612765,1610612753,113,109,4,12,10,5365
22200016,1610612747,1610612746,97,103,-6,8,10,4647
22200015,1610612755,1610612749,88,90,-2,6,7,4955
22200019,1610612764,1610612741,102,100,2,5,10,4164
22200020,1610612737,1610612753,108,98,10,9,10,3753
22200022,1610612748,1610612738,104,111,-7,11,12,3848
22200023,1610612752,1610612765,130,106,24,11,13,5265
22200017,1610612766,1610612740,112,124,-12,11,15,4066
22200018,1610612754,1610612759,134,137,-3,14,7,5459
22200025,1610612750,1610612762,126,132,-6,21,19,5062
22200026,1610612744,1610612743,123,128,-5,7,12,4344
22200021,1610612751,1610612761,109,105,4,13,8,5161
22200024,1610612745,1610612763,122,129,-7,13,17,4563
22200027,1610612757,1610612756,113,111,2,13,9,5657
22200034,1610612742,1610612763,137,96,41,15,6,4263
22200031,1610612748,1610612761,112,109,3,6,8,4861
22200035,1610612743,1610612760,122,117,5,9,10,4360
22200030,1610612753,1610612738,120,126,-6,12,7,3853
22200036,1610612758,1610612746,109,111,-2,9,5,4658
22200029,1610612754,1610612765,124,115,9,20,17,5465
22200032,1610612741,1610612739,96,128,-32,10,8,3941
22200033,1610612749,1610612745,125,105,20,8,15,4549
22200028,1610612755,1610612759,105,114,-9,12,12,5559
22200039,1610612739,1610612764,117,107,10,16,4,3964
22200037,1610612747,1610612757,104,106,-2,10,13,4757
22200042,1610612744,1610612758,130,125,5,6,13,4458
22200038,1610612737,1610612766,109,126,-17,16,14,3766
22200043,1610612746,1610612756,95,112,-17,9,13,4656
22200040,1610612740,1610612762,121,122,-1,14,15,4062
22200041,1610612760,1610612750,106,116,-10,11,12,5060
22200048,1610612745,1610612762,114,108,6,17,18,4562
22200045,1610612748,1610612761,90,98,-8,8,10,4861
22200051,1610612757,1610612743,135,110,25,9,10,4357
22200050,1610612750,1610612759,106,115,-9,10,14,5059
22200049,1610612763,1610612751,134,124,10,12,9,5163
22200047,1610612741,1610612738,120,102,18,14,14,3841
22200046,1610612752,1610612753,115,102,13,18,13,5253
22200044,1610612755,1610612754,120,106,14,7,14,5455
22200054,1610612760,1610612746,108,94,14,21,7,4660
22200052,1610612764,1610612765,120,99,21,9,11,6465
22200053,1610612740,1610612742,113,111,2,4,11,4042
22200055,1610612756,1610612744,134,105,29,14,10,4456
22200058,1610612752,1610612766,134,131,3,12,9,5266
22200056,1610612739,1610612753,103,92,11,12,10,3953
22200065,1610612757,1610612748,98,119,-21,11,15,4857
22200064,1610612743,1610612747,110,99,11,9,7,4347
22200062,1610612750,1610612759,134,122,12,0,14,5059
22200059,1610612761,1610612755,119,109,10,6,4,5561
22200063,1610612762,1610612745,109,101,8,11,14,4562
22200060,1610612749,1610612751,110,99,11,14,7,4951
22200061,1610612741,1610612754,124,109,15,9,6,4154
22200057,1610612765,1610612737,113,118,-5,10,10,3765
22200069,1610612758,1610612763,110,125,-15,9,11,5863
22200068,1610612744,1610612748,123,110,13,16,8,4448
22200067,1610612760,1610612746,118,110,8,13,10,4660
22200066,1610612751,1610612742,125,129,-4,13,7,4251
22200070,1610612765,1610612737,112,136,-24,14,10,3765
22200073,1610612761,1610612755,90,112,-22,15,7,5561
22200074,1610612764,1610612754,117,127,-10,9,5,5464
22200072,1610612738,1610612739,123,132,-9,5,9,3839
22200078,1610612743,1610612762,117,101,16,17,8,4362
22200075,1610612749,1610612752,119,108,11,19,13,4952
22200077,1610612759,1610612741,129,124,5,8,15,4159
22200080,1610612757,1610612745,125,111,14,11,13,4557
22200079,1610612756,1610612740,124,111,13,14,9,4056
22200076,1610612750,1610612747,111,102,9,14,12,4750
22200071,1610612753,1610612766,113,93,20,5,10,5366
22200081,1610612758,1610612748,119,113,6,6,9,4858
22200085,1610612749,1610612737,123,115,8,14,12,3749
22200084,1610612741,1610612755,109,114,-5,9,8,4155
22200087,1610612762,1610612763,124,123,1,10,10,6263
22200082,1610612766,1610612744,120,113,7,15,10,4466
22200083,1610612751,1610612754,116,125,-9,6,17,5154
22200086,1610612742,1610612760,111,117,-6,12,9,4260
22200088,1610612746,1610612740,91,112,-21,8,12,4046
22200090,1610612739,1610612752,121,108,13,10,12,3952
22200092,1610612759,1610612750,107,98,9,14,16,5059
22200093,1610612742,1610612753,114,105,9,5,11,4253
22200091,1610612765,1610612744,128,114,14,12,13,4465
22200094,1610612756,1610612745,124,109,15,10,17,4556
22200095,1610612747,1610612743,121,110,11,13,13,4347
22200089,1610612738,1610612764,112,94,18,4,15,3864
22200099,1610612761,1610612737,139,109,30,12,7,3761
22200102,1610612746,1610612745,95,93,2,8,7,4546
22200101,1610612762,1610612763,121,105,16,11,18,6263
22200098,1610612751,1610612754,116,109,7,6,10,5154
22200100,1610612749,1610612765,110,108,2,14,13,4965
22200097,1610612764,1610612755,111,118,-7,9,4,5564
22200096,1610612766,1610612758,108,115,-7,6,10,5866
22200105,1610612760,1610612753,116,108,8,8,12,5360
22200106,1610612756,1610612750,116,107,9,7,10,5056
22200103,1610612751,1610612741,99,108,-9,4,11,4151
22200104,1610612748,1610612744,116,109,7,9,10,4448
22200108,1610612755,1610612764,111,121,-10,6,7,5564
22200117,1610612747,1610612740,120,117,3,11,11,4047
22200112,1610612745,1610612746,101,109,-8,16,9,4546
22200116,1610612757,1610612763,106,111,-5,16,10,5763
22200110,1610612752,1610612737,99,112,-13,12,17,3752
22200115,1610612742,1610612762,103,100,3,7,12,4262
22200114,1610612759,1610612761,100,143,-43,13,9,5961
22200111,1610612741,1610612766,106,88,18,11,13,4166
22200107,1610612739,1610612738,114,113,1,9,8,3839
22200113,1610612749,1610612765,116,91,25,15,2,4965
22200109,1610612748,1610612758,110,107,3,9,4,4858
22200118,1610612753,1610612744,130,129,1,11,9,4453
22200119,1610612760,1610612743,110,122,-12,10,8,4360
22200131,1610612747,1610612762,116,130,-14,9,15,4762
22200124,1610612738,1610612741,123,119,4,7,4,3841
22200129,1610612750,1610612749,102,115,-13,10,7,4950
22200125,1610612763,1610612766,130,99,31,18,12,6366
22200130,1610612756,1610612757,106,108,-2,13,11,5657
22200128,1610612740,1610612744,114,105,9,9,3,4044
22200127,1610612742,1610612761,111,110,1,6,18,4261
22200121,1610612754,1610612748,101,99,2,5,8,4854
22200122,1610612755,1610612752,104,106,-2,13,10,5255
22200120,1610612765,1610612739,88,112,-24,9,10,3965
22200123,1610612764,1610612751,86,128,-42,7,7,5164
22200126,1610612759,1610612746,106,113,-7,6,3,4659
22200139,1610612756,1610612757,102,82,20,11,8,5657
22200138,1610612743,1610612759,126,101,25,10,6,4359
22200135,1610612752,1610612738,118,133,-15,12,8,3852
22200133,1610612766,1610612751,94,98,-4,13,9,5166
22200132,1610612753,1610612758,123,126,-3,7,6,5358
22200134,1610612737,1610612740,124,121,3,12,19,3740
