Away,Home,Spread_Pred
Nuggets,Nets,-0.5
Suns,Thunder,#N/A
Hawks,Spurs,-7
Heat,Pistons,-6.5
Pelicans,Rockets,-3.5
Raptors,Bucks,6.5
Clippers,Trail Blazers,0.5
Magic,Lakers,7
Bulls,76ers,7.5
Pacers,Hornets,0.5
Timberwolves,Knicks,4
Mavericks,Grizzlies,4.5
Warriors,Rockets,-8.5
Kings,Jazz,1
Wizards,Magic,#N/A
Cavaliers,Nets,-1
Pistons,Hawks,11.5
Spurs,Pelicans,9.5
Celtics,Kings,-3.5
Thunder,Clippers,5
Nuggets,Wizards,-4
Warriors,Mavericks,2
Pacers,Raptors,7.5
Knicks,Heat,1
Hawks,Timberwolves,5.5
Rockets,Grizzlies,13.5
76ers,Bulls,-2
Spurs,Bucks,17
Trail Blazers,Jazz,4
Suns,Lakers,2.5
Knicks,Magic,-1.5
Cavaliers,Nets,-1
Hornets,Pelicans,7
Thunder,Clippers,5
Pacers,Celtics,9.5
Spurs,Wizards,9.5
Pistons,Raptors,13
Rockets,Grizzlies,13.5
Hornets,Mavericks,11
Bucks,Jazz,-3.5
Bulls,Trail Blazers,#N/A
76ers,Warriors,-0.5
Suns,Kings,2.5
Thunder,Lakers,6.5
Pacers,Hawks,7.5
Nets,Heat,5
Bucks,Nuggets,4.5
76ers,Suns,-1.5
Jazz,Kings,6
Pelicans,Clippers,4.5
Mavericks,Hornets,-4
Bulls,Lakers,3.5
Nets,Magic,2
Rockets,Cavaliers,13.5
Grizzlies,Hawks,-1
Spurs,Celtics,15
Wizards,Raptors,6
Thunder,Trail Blazers,2
Timberwolves,Warriors,3.5
Mavericks,Pacers,#N/A
Bucks,Pistons,-10
Rockets,Knicks,14.5
Suns,Jazz,0.5
76ers,Nuggets,3
Timberwolves,Kings,3
Pelicans,Trail Blazers,-0.5
Bulls,Clippers,5
Celtics,Wizards,-3
Cavaliers,Hawks,0.5
Heat,Raptors,3.5
Hornets,Thunder,6
Magic,Grizzlies,8.5
Pelicans,Warriors,7.5
Bucks,Pacers,-5
Mavericks,76ers,5.5
Rockets,Nets,9.5
Heat,Knicks,5.5
Pistons,Thunder,7.5
Clippers,Grizzlies,3.5
Lakers,Bulls,2
Jazz,Spurs,-2
Timberwolves,Suns,1.5
Kings,Trail Blazers,-0.5
Celtics,Bucks,1
Pelicans,Nuggets,8.5
Bulls,Hornets,-3.5
Thunder,Pacers,2
Magic,Wizards,5
Raptors,76ers,5.5
Hawks,Nets,1.5
Knicks,Cavaliers,3
Jazz,Celtics,9
Pistons,Rockets,2.5
Clippers,Grizzlies,5
Lakers,Timberwolves,3.5
Spurs,Warriors,13
Kings,Trail Blazers,#N/A
Nuggets,Suns,2
Mavericks,Heat,2
Clippers,Pelicans,3
Raptors,Hornets,-5
Grizzlies,Bulls,0.5
Trail Blazers,Timberwolves,7
Jazz,Nets,4.5
Mavericks,Hawks,2.5
Pistons,Magic,7.5
Spurs,Kings,10
Wizards,Knicks,6
Lakers,Rockets,-6
Suns,Thunder,-0.5
Pacers,Cavaliers,8.5
76ers,Bucks,3
Warriors,Nuggets,5
Cavaliers,Magic,-3.5
Heat,Pistons,-7
Bucks,Wizards,-3.5
Raptors,Hornets,-5
Timberwolves,Nets,-0.5
Hawks,Bulls,3.5
Celtics,76ers,2.5
Nuggets,Rockets,-9
Trail Blazers,Grizzlies,7.5
Kings,Pelicans,2
Lakers,Jazz,#N/A
Thunder,Warriors,7.5
Spurs,Suns,11.5
Nets,Pistons,-4.5
Knicks,Pacers,-2.5
Bulls,Bucks,7
Raptors,Celtics,5
Wizards,Hawks,4
Grizzlies,Pelicans,-1
Kings,Mavericks,6
Lakers,Clippers,3.5
Cavaliers,Magic,-3.5
Heat,76ers,6
Trail Blazers,Spurs,-2.5
Thunder,Jazz,3
Nuggets,Suns,2
Pistons,Pacers,8
Rockets,Hornets,5.5
Heat,Wizards,1.5
Magic,Nets,7
76ers,Hawks,#N/A
Raptors,Celtics,5
Grizzlies,Bucks,5
Knicks,Pelicans,-0.5
Bulls,Mavericks,4
Warriors,Kings,#N/A
Suns,Lakers,3
Nuggets,Jazz,-2.5
Timberwolves,Spurs,-6.5
Trail Blazers,Clippers,5
Hawks,Celtics,7
Hornets,Cavaliers,11
Pistons,Bulls,11.5
Rockets,Wizards,9.5
Pacers,Knicks,7.5
Bucks,Raptors,#N/A
Magic,Heat,7.5
76ers,Nets,-3
Warriors,Trail Blazers,-4
Clippers,Suns,6.5
Grizzlies,Thunder,-2
Pelicans,Timberwolves,4
Spurs,Mavericks,13.5
Kings,Nuggets,5.5
Jazz,Lakers,8
Nuggets,Knicks,1
Magic,Clippers,5.5
Timberwolves,Raptors,6
76ers,Pacers,-3
Warriors,Grizzlies,3
Heat,Bulls,-0.5
Kings,Wizards,-1
Celtics,Jazz,-4
76ers,Hornets,-8
Warriors,Hawks,4
Wizards,Cavaliers,5.5
Grizzlies,Spurs,-7.5
Timberwolves,Bulls,1.5
Pelicans,Rockets,-3.5
Celtics,Trail Blazers,-4.5
Mavericks,Lakers,3.5
Nuggets,Pistons,-16
Thunder,Raptors,7
Kings,Nets,3
