Game_id,Day,Home_ID,Away_ID,Home_pts,Away_pts,Spread,Home_oreb,Away_oreb,Home_FGPct,Away_FGPct,Home_3Pct,Away_3Pct,Home_Steals,Away_Steals,Home_TPG,Away_TPG,Home_TSG,Away_TSG,Home_TOG,Away_TOG,Home_PPG,Away_PPG,Home_SPG,Away_STG,Home_OPG,Away_OPG
22200002,1,1610612744,1610612747,123,109,14,11,9,0.455,0.426,0.355555556,0.25,11,12,0,0,0,0,0,0,0,0,0,0,0,0
22200001,1,1610612738,1610612755,126,117,9,6,4,0.561,0.5,0.342857143,0.382352941,8,8,0,0,0,0,0,0,0,0,0,0,0,0
22200005,2,1610612737,1610612745,117,107,10,4,15,0.5,0.429,0.28,0.257142857,12,4,0,0,0,0,0,0,0,0,0,0,0,0
22200006,2,1610612751,1610612740,108,130,-22,9,21,0.449,0.49,0.303030303,0.461538462,10,9,0,0,0,0,0,0,0,0,0,0,0,0
22200007,2,1610612748,1610612741,108,116,-8,8,12,0.463,0.441,0.428571429,0.361111111,6,12,0,0,0,0,0,0,0,0,0,0,0,0
22200013,2,1610612756,1610612742,107,105,2,8,5,0.471,0.467,0.363636364,0.4,4,6,0,0,0,0,0,0,0,0,0,0,0,0
22200014,2,1610612758,1610612757,108,115,-7,4,11,0.459,0.443,0.386363636,0.392857143,8,11,0,0,0,0,0,0,0,0,0,0,0,0
22200010,2,1610612750,1610612760,115,108,7,14,16,0.415,0.384,0.263157895,0.311111111,6,6,0,0,0,0,0,0,0,0,0,0,0,0
22200008,2,1610612761,1610612739,108,105,3,12,6,0.419,0.494,0.433333333,0.357142857,15,5,0,0,0,0,0,0,0,0,0,0,0,0
22200012,2,1610612762,1610612743,123,102,21,11,10,0.506,0.482,0.421052632,0.227272727,10,10,0,0,0,0,0,0,0,0,0,0,0,0
22200009,2,1610612763,1610612752,115,112,3,20,18,0.389,0.404,0.34,0.243243243,6,7,0,0,0,0,0,0,0,0,0,0,0,0
22200004,2,1610612754,1610612764,107,114,-7,12,14,0.402,0.457,0.357142857,0.35483871,7,5,0,0,0,0,0,0,0,0,0,0,0,0
22200003,2,1610612765,1610612753,113,109,4,12,10,0.426,0.488,0.368421053,0.366666667,11,5,0,0,0,0,0,0,0,0,0,0,0,0
22200011,2,1610612759,1610612766,102,129,-27,14,14,0.404,0.511,0.205882353,0.448275862,8,7,0,0,0,0,0,0,0,0,0,0,0,0
22200016,3,1610612747,1610612746,97,103,-6,8,10,0.351,0.463,0.2,0.310344828,13,7,109,0,12,0,9,0,0,0,0,0,0,0
22200015,3,1610612755,1610612749,88,90,-2,6,7,0.434,0.405,0.208333333,0.30952381,6,4,117,0,8,0,4,0,54.5,0,6,0,4.5,0
22200026,4,1610612744,1610612743,123,128,-5,7,12,0.477,0.535,0.340909091,0.441176471,10,10,123,102,11,10,11,10,58.5,0,4,0,2,0
